stock_code,date,volume,open_price,close_price,turnover,turnover_rate,price_change_percentage,volume_next_day,volume_last_day,close_price_next_days,cumsum_return_next_days,volume_rate
300030,2024-08-01,71195,16.29,16.73,27749293.0,2.62,2.7,266423.0,56707.0,17.45,4.3036461446503225,4.166049006270426
2675,2024-07-30,26059,63.47,63.85,31428245.0,0.34,0.52,89760.0,17871.0,66.59,4.2913077525450305,4.086501251991805
2030,2024-08-08,269296,145.0,152.89,151360297.33,1.92,6.06,657487.0,121491.0,159.44,4.284125842108714,3.364937932940451
300800,2024-08-09,8527,31.88,31.64,8351301.0,0.36,-0.66,73772.0,8527.0,32.99,4.266750948166882,8.65157734255893
960,2024-08-08,107891,32.61,32.59,144328409.0,0.66,-0.43,439859.0,141512.0,33.98,4.2651119975452385,3.52729518089197
886,2024-07-30,100507,9.82,9.88,42926110.9,1.03,0.41,392060.0,136340.0,10.3,4.251012145748987,3.3106604685725385
2606,2024-08-06,55957,31.96,32.32,42604965.0,1.33,1.76,302925.0,94735.0,33.68,4.207920792079206,4.020452313327848
1223,2024-08-07,4654,33.65,34.03,15448002.95,2.79,1.13,15075.0,4900.0,35.46,4.202174551865999,3.155746284278836
48,2024-07-26,18470,149.38,150.3,25965628.0,0.35,0.33,68495.0,21360.0,156.61,4.19827012641384,3.4393673110720564
600221,2024-07-30,419594,3.14,3.12,44603703.0,0.13,-0.64,1876749.0,418598.0,3.25,4.1666666666666625,4.4780885525034835
300957,2024-07-30,11729,47.86,47.91,53266948.0,0.28,0.1,34901.0,10933.0,49.9,4.153621373408479,3.080134145265202
600135,2024-07-24,149064,11.51,12.3,69253686.0,2.69,6.86,288708.0,37644.0,12.81,4.1463414634146325,3.092615206632817
2144,2024-07-30,11751,10.38,10.39,9714121.0,0.85,0.68,116712.0,10279.0,10.82,4.138594802694897,10.59573309123922
603130,2024-07-30,2143,18.86,18.87,3945680.0,0.42,0.32,16909.0,1849.0,19.65,4.133545310015886,8.471442885771543
2500,2024-07-30,135654,6.01,6.06,63819237.3,0.38,0.66,463871.0,160653.0,6.31,4.125412541254125,3.1310161420418687
300594,2024-08-08,37614,14.91,14.62,53228402.0,4.14,-2.86,113270.0,33877.0,15.22,4.103967168262663,3.1687904771229944
688606,2024-07-26,2255,87.94,90.47,10904158.0,0.57,2.88,7876.0,1344.0,94.14,4.056593345860509,4.376771325368158
835174,2024-08-12,23805,17.47,17.04,37792807.43,4.62,2.34,86042.0,15781.0,17.73,4.049295774647895,4.347092406406305
600105,2024-08-07,371610,33.08,35.16,139262757.0,2.67,10.39,1457969.0,140560.0,36.58,4.038680318543805,5.6933010523849505
603339,2024-07-30,9067,15.28,15.39,8291592.0,0.29,0.2,36678.0,9324.0,16.01,4.028589993502281,3.9886901201674734
300708,2024-07-30,87654,15.64,16.0,74545422.0,1.76,1.52,492654.0,83784.0,16.64,4.0000000000000036,5.747313897735625
627,2024-07-30,168690,38.52,39.57,29434370.0,0.37,2.04,656454.0,176902.0,41.15,3.992923932271919,3.7990115511933147
300039,2024-07-29,49995,63.77,63.38,25916793.0,0.55,-0.61,209068.0,59475.0,65.91,3.9917955190911862,3.8196400840412896
301399,2024-08-01,13142,30.2,29.88,26110499.0,4.12,-0.6,65274.0,17883.0,31.07,3.9825970548862157,4.207832393231265
2317,2024-08-09,180412,129.41,126.8,214517081.71,2.37,-2.22,778032.0,294261.0,131.84,3.9747634069400686,3.278180979326821
1269,2024-08-06,40834,38.89,41.81,114570477.82,4.87,9.39,157574.0,31420.0,43.47,3.9703420234393603,4.36166855814211
32,2024-07-30,76248,36.67,36.87,100041718.25,1.18,-0.27,300541.0,69964.0,38.33,3.9598589639273145,4.111030558367302
300615,2024-07-26,15852,21.33,21.98,13844197.0,1.21,3.05,82044.0,13316.0,22.85,3.958143767060969,5.625617114646188
300267,2024-08-07,136818,25.01,24.82,30809210.0,0.96,-1.15,1135189.0,196893.0,25.8,3.9484286865431124,6.803425718660757
2303,2024-07-30,116303,28.18,28.42,27780035.0,1.46,0.85,331407.0,99227.0,29.54,3.9408866995073804,3.0752749037256994
600359,2024-08-02,24848,5.32,5.33,14300034.0,0.65,-0.93,84420.0,23931.0,5.54,3.9399624765478416,3.461325570429898
600753,2024-08-02,40571,13.39,14.62,21596402.0,1.89,9.92,152717.0,54807.0,15.19,3.898768809849523,3.2023527438193296
688085,2024-07-24,3578,20.46,20.04,5785124.0,0.14,-1.96,12818.0,4420.0,20.82,3.892215568862281,3.205301325331333
301273,2024-08-09,12971,15.81,15.68,19915920.0,3.75,-0.76,42575.0,14785.0,16.29,3.890306122448976,3.067805159244848
300345,2024-08-06,60658,26.49,27.82,38570624.0,1.37,6.39,133749.0,21295.0,28.9,3.882099209202007,3.264041584810806
833943,2024-07-24,29450,11.3,12.45,23228745.65,7.15,10.27,56703.0,2834.0,12.93,3.855421686746992,3.512761739561393
949,2024-08-07,212207,12.79,12.97,75534274.24,1.45,1.41,681546.0,149929.0,13.47,3.855050115651503,3.7640334018158925
603333,2024-08-06,61954,4.81,4.93,19147696.0,1.0,2.92,247559.0,59636.0,5.12,3.853955375253558,4.072028949749157
2083,2024-07-30,39110,12.32,12.34,17102928.0,0.5,0.0,134436.0,36601.0,12.81,3.8087520259319336,3.551293735388517
600725,2024-08-06,51232,15.59,15.59,12756768.0,0.42,-8.83,517086.0,30787.0,16.18,3.784477228992943,12.608932076713932
301193,2024-07-30,5169,23.12,22.79,7068667.0,0.54,-0.26,18960.0,7339.0,23.65,3.773584905660375,3.0316597377678285
750,2024-07-30,254548,30.43,30.92,74936389.4,0.44,1.08,2096841.0,305919.0,32.08,3.7516170763259913,7.482478004949444
600392,2024-07-30,77382,58.31,58.52,60382257.0,0.44,0.36,257528.0,69797.0,60.71,3.742310321257686,3.4995209914457903
620,2024-08-02,334237,3.8,3.75,53089298.7,0.81,-1.83,1716216.0,427289.0,3.89,3.7333333333333365,4.507307695338045
832145,2024-08-08,749,41.93,41.79,363192.9,0.17,0.0,2620.0,267.0,43.33,3.685092127303181,5.15748031496063
2542,2024-07-29,179709,28.78,29.32,25498015.5,1.12,1.88,487485.0,127526.0,30.4,3.683492496589353,3.173368919556691
601555,2024-07-30,180614,7.54,7.63,109193186.0,0.36,0.66,672481.0,160415.0,7.91,3.6697247706422047,3.943834688545549
2367,2024-07-25,42468,51.09,51.52,23170281.0,0.81,0.72,195535.0,43707.0,53.41,3.6684782608695525,4.53809109370467
600909,2024-07-30,207174,5.42,5.47,92104341.0,0.44,0.92,609604.0,195357.0,5.67,3.6563071297989067,3.0288549204905957
300958,2024-08-09,12825,10.87,10.68,13087211.0,1.41,-1.29,48619.0,13297.0,11.07,3.6516853932584326,3.722456167215374
301057,2024-08-07,8389,11.55,11.78,9241334.0,1.62,0.94,27015.0,8592.0,12.21,3.6502546689304034,3.1817914139332193
837212,2024-08-08,9189,14.76,14.8,6255307.72,1.76,-0.54,38071.0,6983.0,15.34,3.6486486486486425,4.708261192184022
600375,2024-08-07,24588,13.07,13.18,10147377.0,0.38,1.0,84907.0,26663.0,13.66,3.641881638846741,3.3133792511365634
834770,2024-07-24,18963,6.99,6.91,10315194.1,2.88,-1.0,65610.0,23587.0,7.16,3.61794500723589,3.083901292596945
301026,2024-07-25,9925,23.41,23.55,22107650.0,1.36,0.21,25788.0,7121.0,24.4,3.609341825902326,3.025695177754312
605060,2024-08-09,12144,13.51,13.38,14676801.0,0.5,-0.52,61340.0,16515.0,13.86,3.5874439461883303,4.280679716668411
3002,2024-08-12,17119,11.56,11.17,17678987.0,0.94,-1.15,60034.0,18991.0,11.57,3.581020590868401,3.3250623096095264
600250,2024-08-02,167739,16.69,16.63,137123526.0,5.9,-1.66,620805.0,233778.0,17.22,3.547805171377029,3.092297461875836
688335,2024-08-06,1555,18.23,18.34,1258079.0,0.11,1.27,7989.0,2932.0,18.99,3.5441657579062085,3.5609538667260976
300886,2024-08-07,5812,21.74,22.07,9674768.0,1.34,1.19,35686.0,6752.0,22.85,3.534209333937477,5.6806749442852595
2331,2024-07-25,217666,35.73,37.77,148341818.45,5.5,3.91,527869.0,101136.0,39.1,3.521313211543548,3.3115789737831003
